year,league_id,division_id,rank,games_played,home_games,wins,losses,division_winner,wild_card_winner,league_winner,world_series_winner,runs_scored,at_bats,hits,doubles,triples,homeruns,walks,strikeouts_by_batters,stolen_bases,caught_stealing,batters_hit_by_pitch,sacrifice_flies,opponents_runs_scored,earned_runs_allowed,earned_run_average,complete_games,shutouts,saves,outs_pitches,hits_allowed,homeruns_allowed,walks_allowed,strikeouts_by_pitchers,errors,double_plays,fielding_percentage,home_attendance
1878.0,1,1,5.0,63.0,78.01447574334898,24.0,36.0,0,0,0,0,293.0,2300.0,542.0,76.0,15.0,3.0,64.0,197.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,328.0,149.0,2.32,59.0,2.0,1.0,1734.0,621.0,3.0,87.0,182.0,290.0,37.0,0.898,1375101.5418535126
1878.0,1,1,6.0,61.0,78.01447574334898,15.0,45.0,0,0,0,0,256.0,2212.0,552.0,65.0,20.0,2.0,69.0,214.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,386.0,158.0,2.6,54.0,1.0,0.0,1641.0,589.0,3.0,55.0,147.0,376.0,32.0,0.866,1375101.5418535126
1878.0,1,1,3.0,62.0,78.01447574334898,33.0,27.0,0,0,0,0,353.0,2298.0,604.0,107.0,30.0,8.0,50.0,218.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,337.0,147.0,2.38,59.0,6.0,0.0,1668.0,609.0,5.0,86.0,173.0,311.0,42.0,0.892,1375101.5418535126
1879.0,1,1,3.0,79.0,78.01447574334898,46.0,32.0,0,0,0,0,394.0,2906.0,733.0,105.0,54.0,2.0,78.0,314.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,365.0,185.0,2.34,78.0,8.0,0.0,2139.0,698.0,3.0,47.0,198.0,331.0,62.0,0.906,1375101.5418535126
1879.0,1,1,2.0,84.0,78.01447574334898,54.0,30.0,0,0,0,0,562.0,3217.0,883.0,138.0,51.0,20.0,90.0,222.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,348.0,183.0,2.19,79.0,13.0,0.0,2259.0,757.0,9.0,46.0,230.0,319.0,58.0,0.913,1375101.5418535126
1879.0,1,1,4.0,83.0,78.01447574334898,46.0,33.0,0,0,0,0,437.0,3116.0,808.0,167.0,32.0,3.0,73.0,294.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,411.0,203.0,2.46,82.0,6.0,0.0,2232.0,762.0,5.0,57.0,211.0,381.0,52.0,0.9,1375101.5418535126
1879.0,1,1,6.0,82.0,78.01447574334898,27.0,55.0,0,0,0,0,322.0,2987.0,666.0,116.0,29.0,4.0,37.0,214.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,461.0,218.0,2.65,79.0,3.0,0.0,2223.0,818.0,4.0,116.0,287.0,406.0,42.0,0.889,1375101.5418535126
1879.0,1,1,5.0,81.0,78.01447574334898,43.0,37.0,0,0,0,0,485.0,3085.0,813.0,127.0,53.0,8.0,66.0,207.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,464.0,185.0,2.29,79.0,4.0,0.0,2178.0,756.0,11.0,81.0,246.0,450.0,48.0,0.878,1375101.5418535126
1879.0,1,1,1.0,85.0,78.01447574334898,59.0,25.0,0,0,1,0,612.0,3392.0,1003.0,142.0,55.0,12.0,91.0,172.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,355.0,188.0,2.18,73.0,3.0,2.0,2328.0,765.0,9.0,62.0,329.0,382.0,41.0,0.902,1375101.5418535126
1879.0,1,1,7.0,71.0,78.01447574334898,22.0,48.0,0,0,0,0,276.0,2611.0,592.0,61.0,19.0,5.0,28.0,238.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,462.0,230.0,3.19,64.0,5.0,0.0,1947.0,775.0,4.0,52.0,132.0,398.0,37.0,0.873,1375101.5418535126
1879.0,1,1,8.0,77.0,78.01447574334898,19.0,56.0,0,0,0,0,321.0,2841.0,673.0,102.0,24.0,4.0,45.0,182.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,543.0,216.0,2.8,75.0,3.0,0.0,2085.0,840.0,13.0,47.0,210.0,460.0,44.0,0.875,1375101.5418535126
1880.0,1,1,7.0,85.0,78.01447574334898,24.0,58.0,0,0,0,0,331.0,2962.0,669.0,104.0,37.0,3.0,90.0,327.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,502.0,254.0,3.09,72.0,6.0,1.0,2217.0,879.0,10.0,78.0,186.0,408.0,55.0,0.891,1375101.5418535126
1880.0,1,1,6.0,86.0,78.01447574334898,40.0,44.0,0,0,0,0,416.0,3080.0,779.0,134.0,41.0,20.0,105.0,221.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,456.0,255.0,3.08,70.0,4.0,0.0,2234.0,840.0,2.0,86.0,187.0,367.0,54.0,0.901,1375101.5418535126
1880.0,1,1,1.0,86.0,78.01447574334898,67.0,17.0,0,0,1,0,538.0,3135.0,876.0,164.0,39.0,4.0,104.0,217.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,317.0,166.0,1.93,80.0,8.0,3.0,2325.0,622.0,8.0,129.0,367.0,329.0,41.0,0.913,1375101.5418535126
1880.0,1,1,3.0,85.0,78.01447574334898,47.0,37.0,0,0,0,0,387.0,3002.0,726.0,130.0,52.0,7.0,76.0,237.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,337.0,160.0,1.9,83.0,7.0,1.0,2279.0,685.0,4.0,98.0,289.0,330.0,52.0,0.91,1375101.5418535126
1880.0,1,1,8.0,83.0,78.01447574334898,21.0,59.0,0,0,0,0,296.0,2895.0,649.0,91.0,36.0,7.0,75.0,267.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,472.0,193.0,2.44,79.0,3.0,0.0,2140.0,785.0,10.0,88.0,208.0,437.0,49.0,0.877,1375101.5418535126
1880.0,1,1,2.0,87.0,78.01447574334898,52.0,32.0,0,0,0,0,419.0,3196.0,793.0,114.0,34.0,8.0,89.0,186.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,299.0,146.0,1.64,75.0,13.0,3.0,2397.0,663.0,7.0,51.0,286.0,357.0,53.0,0.91,1375101.5418535126
1880.0,1,1,4.0,83.0,78.01447574334898,41.0,42.0,0,0,0,0,392.0,3007.0,755.0,114.0,37.0,5.0,120.0,260.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,438.0,225.0,2.74,81.0,4.0,0.0,2214.0,760.0,8.0,112.0,169.0,366.0,58.0,0.9,1375101.5418535126
1880.0,1,1,5.0,85.0,78.01447574334898,40.0,43.0,0,0,0,0,412.0,3024.0,699.0,129.0,52.0,8.0,81.0,278.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,370.0,192.0,2.27,68.0,7.0,5.0,2288.0,709.0,13.0,97.0,297.0,355.0,49.0,0.906,1375101.5418535126
1881.0,1,1,3.0,83.0,78.01447574334898,45.0,38.0,0,0,0,0,440.0,3019.0,797.0,157.0,50.0,12.0,108.0,270.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,447.0,234.0,2.84,72.0,5.0,0.0,2227.0,881.0,9.0,89.0,185.0,408.0,48.0,0.892,1375101.5418535126
1881.0,1,1,6.0,83.0,78.01447574334898,38.0,45.0,0,0,0,0,347.0,2916.0,733.0,121.0,27.0,5.0,110.0,193.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,410.0,220.0,2.71,72.0,6.0,3.0,2192.0,763.0,9.0,143.0,199.0,325.0,54.0,0.909,1375101.5418535126
1881.0,1,1,1.0,84.0,78.01447574334898,56.0,28.0,0,0,1,0,550.0,3114.0,918.0,157.0,36.0,12.0,140.0,224.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,380.0,201.0,2.43,81.0,9.0,0.0,2234.0,722.0,14.0,122.0,228.0,309.0,54.0,0.916,1375101.5418535126
1881.0,1,1,7.0,85.0,78.01447574334898,36.0,48.0,0,0,0,0,392.0,3117.0,796.0,120.0,39.0,7.0,132.0,224.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,414.0,226.0,2.68,82.0,2.0,0.0,2280.0,737.0,9.0,126.0,240.0,348.0,68.0,0.904,1375101.5418535126
1881.0,1,1,4.0,84.0,78.01447574334898,41.0,43.0,0,0,0,0,440.0,2995.0,780.0,131.0,53.0,17.0,136.0,250.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,429.0,219.0,2.65,83.0,10.0,0.0,2234.0,785.0,8.0,137.0,265.0,338.0,80.0,0.906,1375101.5418535126
1881.0,1,1,2.0,85.0,78.01447574334898,47.0,37.0,0,0,0,0,447.0,3077.0,780.0,144.0,37.0,11.0,146.0,214.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,426.0,202.0,2.4,76.0,7.0,0.0,2273.0,756.0,5.0,138.0,264.0,390.0,66.0,0.896,1375101.5418535126
1881.0,1,1,5.0,85.0,78.01447574334898,39.0,45.0,0,0,0,0,399.0,3046.0,754.0,124.0,31.0,5.0,140.0,240.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,427.0,254.0,2.96,85.0,8.0,0.0,2313.0,805.0,11.0,161.0,207.0,311.0,70.0,0.917,1375101.5418535126
1881.0,1,1,8.0,83.0,78.01447574334898,32.0,50.0,0,0,0,0,410.0,3093.0,781.0,114.0,31.0,7.0,121.0,169.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,492.0,290.0,3.54,80.0,5.0,0.0,2212.0,882.0,11.0,120.0,196.0,353.0,50.0,0.903,1375101.5418535126
1882.0,1,1,3.0,84.0,78.01447574334898,45.0,39.0,0,0,0,0,500.0,3128.0,858.0,146.0,47.0,18.0,116.0,228.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,461.0,266.0,3.25,79.0,3.0,0.0,2211.0,778.0,16.0,114.0,287.0,315.0,42.0,0.91,1375101.5418535126
1882.0,1,1,3.0,85.0,78.01447574334898,45.0,39.0,0,0,0,0,472.0,3118.0,823.0,114.0,50.0,15.0,134.0,244.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,414.0,233.0,2.8,81.0,4.0,0.0,2247.0,738.0,10.0,77.0,352.0,314.0,37.0,0.91,1375101.5418535126
1882.0,1,1,1.0,84.0,78.01447574334898,55.0,29.0,0,0,1,0,604.0,3225.0,892.0,209.0,54.0,15.0,142.0,262.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,353.0,188.0,2.22,83.0,7.0,0.0,2291.0,667.0,13.0,102.0,279.0,376.0,54.0,0.898,1375101.5418535126
1882.0,1,1,5.0,84.0,78.01447574334898,42.0,40.0,0,0,0,0,402.0,3009.0,716.0,139.0,40.0,20.0,122.0,261.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,411.0,230.0,2.75,81.0,4.0,0.0,2255.0,743.0,22.0,132.0,232.0,358.0,71.0,0.905,1375101.5418535126
1882.0,1,1,5.0,86.0,78.01447574334898,42.0,41.0,0,0,0,0,407.0,3144.0,724.0,117.0,44.0,19.0,122.0,308.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,488.0,263.0,2.98,82.0,7.0,0.0,2379.0,808.0,19.0,129.0,354.0,396.0,44.0,0.893,1375101.5418535126
1882.0,1,1,2.0,84.0,78.01447574334898,52.0,32.0,0,0,0,0,463.0,3104.0,776.0,121.0,53.0,11.0,102.0,255.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,356.0,190.0,2.27,80.0,10.0,1.0,2256.0,690.0,12.0,87.0,273.0,371.0,67.0,0.901,1375101.5418535126
1882.0,1,1,7.0,85.0,78.01447574334898,35.0,48.0,0,0,0,0,430.0,3057.0,747.0,116.0,59.0,12.0,109.0,298.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,522.0,259.0,3.08,81.0,6.0,0.0,2274.0,836.0,13.0,165.0,184.0,432.0,70.0,0.887,1375101.5418535126
1882.0,1,1,8.0,84.0,78.01447574334898,18.0,66.0,0,0,0,0,379.0,2984.0,689.0,109.0,57.0,16.0,113.0,303.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,652.0,308.0,3.75,75.0,0.0,0.0,2215.0,964.0,21.0,151.0,195.0,468.0,66.0,0.878,1375101.5418535126
1883.0,1,1,5.0,98.0,78.01447574334898,52.0,45.0,0,0,0,0,614.0,3729.0,1058.0,184.0,59.0,8.0,147.0,342.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,576.0,317.0,3.32,90.0,5.0,2.0,2578.0,971.0,12.0,101.0,362.0,445.0,52.0,0.896,1375101.5418535126
1883.0,1,1,1.0,98.0,78.01447574334898,63.0,35.0,0,0,1,0,669.0,3657.0,1010.0,209.0,86.0,34.0,123.0,423.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,456.0,244.0,2.55,89.0,6.0,3.0,2580.0,853.0,11.0,90.0,538.0,409.0,58.0,0.901,1375101.5418535126
1883.0,1,1,2.0,98.0,78.01447574334898,59.0,39.0,0,0,0,0,679.0,3658.0,1000.0,277.0,61.0,13.0,129.0,399.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,540.0,266.0,2.78,91.0,5.0,1.0,2586.0,942.0,21.0,123.0,299.0,543.0,76.0,0.879,1375101.5418535126
1883.0,1,1,4.0,100.0,78.01447574334898,55.0,42.0,0,0,0,0,476.0,3457.0,852.0,184.0,38.0,8.0,139.0,374.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,443.0,217.0,2.22,92.0,5.0,2.0,2637.0,818.0,7.0,217.0,402.0,389.0,69.0,0.909,1375101.5418535126
1883.0,1,1,7.0,101.0,78.01447574334898,40.0,58.0,0,0,0,0,524.0,3726.0,931.0,164.0,48.0,13.0,166.0,378.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,650.0,354.0,3.56,89.0,5.0,2.0,2683.0,1026.0,22.0,184.0,324.0,470.0,77.0,0.893,1375101.5418535126
1883.0,1,1,6.0,98.0,78.01447574334898,46.0,50.0,0,0,0,0,530.0,3524.0,900.0,139.0,69.0,24.0,127.0,297.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,577.0,283.0,2.94,87.0,5.0,0.0,2598.0,907.0,19.0,170.0,323.0,468.0,52.0,0.889,1375101.5418535126
1883.0,1,1,8.0,99.0,78.01447574334898,17.0,81.0,0,0,0,0,437.0,3576.0,859.0,181.0,48.0,3.0,141.0,355.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,887.0,513.0,5.34,91.0,3.0,0.0,2594.0,1267.0,20.0,125.0,253.0,639.0,62.0,0.858,1375101.5418535126
1883.0,1,1,3.0,98.0,78.01447574334898,58.0,40.0,0,0,0,0,636.0,3685.0,1001.0,189.0,59.0,21.0,149.0,309.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,436.0,229.0,2.37,88.0,4.0,1.0,2613.0,827.0,12.0,111.0,376.0,419.0,75.0,0.903,1375101.5418535126
1884.0,1,1,3.0,114.0,78.01447574334898,64.0,47.0,0,0,0,0,700.0,4197.0,1099.0,163.0,69.0,39.0,215.0,458.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,626.0,328.0,2.95,108.0,14.0,1.0,3003.0,1041.0,46.0,189.0,534.0,462.0,71.0,0.905,1375101.5418535126
1884.0,1,1,2.0,116.0,78.01447574334898,73.0,38.0,0,0,0,0,684.0,4189.0,1063.0,179.0,60.0,36.0,207.0,660.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,468.0,285.0,2.47,109.0,14.0,2.0,3111.0,932.0,30.0,135.0,742.0,384.0,46.0,0.922,1375101.5418535126
1884.0,1,1,5.0,112.0,78.01447574334898,62.0,50.0,0,0,0,0,834.0,4182.0,1176.0,162.0,50.0,142.0,264.0,469.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,647.0,336.0,3.03,106.0,9.0,0.0,2992.0,1028.0,83.0,231.0,472.0,595.0,107.0,0.886,1375101.5418535126
1884.0,1,1,7.0,113.0,78.01447574334898,35.0,77.0,0,0,0,0,458.0,3934.0,934.0,147.0,49.0,16.0,170.0,576.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,716.0,379.0,3.43,107.0,7.0,0.0,2984.0,1046.0,35.0,269.0,482.0,512.0,75.0,0.897,1375101.5418535126
1884.0,1,1,8.0,114.0,78.01447574334898,28.0,84.0,0,0,0,0,445.0,3970.0,825.0,114.0,47.0,31.0,207.0,699.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,736.0,370.0,3.38,109.0,3.0,0.0,2954.0,1097.0,36.0,245.0,488.0,550.0,60.0,0.886,1375101.5418535126
1884.0,1,1,4.0,116.0,78.01447574334898,62.0,50.0,0,0,0,0,693.0,4124.0,1053.0,149.0,68.0,22.0,249.0,492.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,623.0,351.0,3.12,111.0,4.0,0.0,3042.0,1011.0,28.0,326.0,567.0,514.0,69.0,0.895,1375101.5418535126
1884.0,1,1,6.0,113.0,78.01447574334898,39.0,73.0,0,0,0,0,549.0,3998.0,934.0,149.0,39.0,14.0,209.0,512.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,824.0,428.0,3.93,106.0,3.0,1.0,2943.0,1090.0,37.0,254.0,411.0,536.0,67.0,0.888,1375101.5418535126
1884.0,1,1,1.0,114.0,78.01447574334898,84.0,28.0,0,0,1,1,665.0,4093.0,987.0,153.0,43.0,21.0,300.0,469.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,388.0,185.0,1.61,107.0,16.0,2.0,3109.0,825.0,26.0,172.0,639.0,398.0,50.0,0.918,1375101.5418535126
1885.0,1,1,7.0,112.0,78.01447574334898,38.0,74.0,0,0,0,0,495.0,3900.0,980.0,149.0,50.0,23.0,179.0,380.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,761.0,456.0,4.29,107.0,4.0,1.0,2868.0,1175.0,31.0,234.0,320.0,464.0,65.0,0.901,1375101.5418535126
1885.0,1,1,5.0,113.0,78.01447574334898,46.0,66.0,0,0,0,0,528.0,3950.0,915.0,144.0,53.0,22.0,190.0,522.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,589.0,330.0,3.03,111.0,10.0,0.0,2943.0,1045.0,26.0,188.0,480.0,478.0,79.0,0.901,1375101.5418535126
1885.0,1,1,1.0,113.0,78.01447574334898,87.0,25.0,0,0,1,0,834.0,4093.0,1079.0,184.0,75.0,54.0,340.0,429.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,470.0,252.0,2.23,108.0,14.0,4.0,3047.0,868.0,37.0,202.0,458.0,496.0,80.0,0.903,1375101.5418535126
1885.0,1,1,6.0,108.0,78.01447574334898,41.0,67.0,0,0,0,0,514.0,3773.0,917.0,149.0,66.0,25.0,216.0,451.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,582.0,305.0,2.88,105.0,6.0,1.0,2863.0,966.0,18.0,224.0,475.0,462.0,61.0,0.901,1375101.5418535126
1885.0,1,1,2.0,112.0,78.01447574334898,85.0,27.0,0,0,0,0,691.0,4029.0,1085.0,150.0,82.0,16.0,221.0,312.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,370.0,190.0,1.72,109.0,16.0,1.0,2982.0,758.0,11.0,265.0,516.0,331.0,85.0,0.929,1375101.5418535126
1885.0,1,1,3.0,111.0,78.01447574334898,56.0,54.0,0,0,0,0,513.0,3893.0,891.0,156.0,35.0,20.0,220.0,401.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,511.0,259.0,2.39,108.0,10.0,0.0,2928.0,860.0,18.0,218.0,378.0,447.0,66.0,0.905,1375101.5418535126
1885.0,1,1,4.0,110.0,78.01447574334898,53.0,57.0,0,0,0,0,442.0,3727.0,820.0,114.0,30.0,6.0,265.0,430.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,531.0,289.0,2.71,108.0,8.0,0.0,2882.0,912.0,18.0,235.0,371.0,459.0,70.0,0.903,1375101.5418535126
1885.0,1,1,8.0,111.0,78.01447574334898,36.0,72.0,0,0,0,0,390.0,3758.0,829.0,121.0,21.0,8.0,214.0,412.0,106.24778434268833,47.54624277456647,45.170547147846335,44.23338048090523,593.0,361.0,3.37,107.0,4.0,0.0,2896.0,935.0,15.0,278.0,337.0,398.0,67.0,0.916,1375101.5418535126
1886.0,1,1,5.0,118.0,78.01447574334898,56.0,61.0,0,0,0,0,657.0,4180.0,1085.0,151.0,59.0,24.0,250.0,537.0,156.0,47.54624277456647,45.170547147846335,44.23338048090523,661.0,371.0,3.24,116.0,3.0,0.0,3087.0,1049.0,33.0,298.0,511.0,465.0,63.0,0.905,1375101.5418535126
1886.0,1,1,1.0,126.0,78.01447574334898,90.0,34.0,0,0,1,0,900.0,4378.0,1223.0,198.0,87.0,53.0,460.0,513.0,213.0,47.54624277456647,45.170547147846335,44.23338048090523,555.0,310.0,2.54,116.0,8.0,3.0,3293.0,988.0,49.0,262.0,647.0,475.0,82.0,0.912,1375101.5418535126
